url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/commits/main,18,2
/EarthSciML/EarthSciData.jl/blob/main/src/load.jl,16,2
/EarthSciML/EarthSciData.jl/actions,16,1
/EarthSciML/EarthSciData.jl,14,4
/EarthSciML/EarthSciData.jl/tree/main/src,12,3
/EarthSciML/EarthSciData.jl/blob/main/Project.toml,8,2
/EarthSciML/EarthSciData.jl/blob/main/src/EarthSciData.jl,8,2
/EarthSciML/EarthSciData.jl/pull/48,7,1
/EarthSciML/EarthSciData.jl/pulls,7,1
/EarthSciML/EarthSciData.jl/blob/main/test/load_test.jl,6,2
