time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,46,15,,
2025-12-03 00:00:00+00:00,117,32,21.0,4.0
2025-12-04 00:00:00+00:00,9,7,2.0,1.0
2025-12-05 00:00:00+00:00,19,14,,
2025-12-06 00:00:00+00:00,9,5,,
2025-12-07 00:00:00+00:00,9,5,,
2025-12-08 00:00:00+00:00,5,5,,
2025-12-09 00:00:00+00:00,4,4,,
2025-12-10 00:00:00+00:00,6,6,,
2025-12-11 00:00:00+00:00,6,4,,
2025-12-12 00:00:00+00:00,29,12,,
2025-12-13 00:00:00+00:00,18,10,1.0,1.0
2025-12-14 00:00:00+00:00,10,6,,
2025-12-15 00:00:00+00:00,15,4,,
