time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,2,2,,
2025-11-02 00:00:00+00:00,15,5,1.0,1.0
2025-11-03 00:00:00+00:00,28,7,1.0,1.0
2025-11-04 00:00:00+00:00,10,6,,
2025-11-05 00:00:00+00:00,5,3,13.0,1.0
2025-11-06 00:00:00+00:00,8,6,,
2025-11-07 00:00:00+00:00,39,11,,
2025-11-08 00:00:00+00:00,14,8,,
2025-11-09 00:00:00+00:00,19,8,,
2025-11-10 00:00:00+00:00,7,6,1.0,1.0
2025-11-11 00:00:00+00:00,11,5,,
2025-11-12 00:00:00+00:00,3,3,,
2025-11-13 00:00:00+00:00,8,6,6.0,1.0
2025-11-14 00:00:00+00:00,3,3,,
