time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-31 00:00:00+00:00,7,7,,
2025-09-01 00:00:00+00:00,5,5,,
2025-09-02 00:00:00+00:00,17,6,17.0,4.0
2025-09-03 00:00:00+00:00,2,2,,
2025-09-04 00:00:00+00:00,6,4,5.0,3.0
2025-09-05 00:00:00+00:00,10,10,,
2025-09-06 00:00:00+00:00,5,5,,
2025-09-07 00:00:00+00:00,5,5,12.0,1.0
2025-09-08 00:00:00+00:00,16,5,6.0,2.0
2025-09-09 00:00:00+00:00,2,2,11.0,2.0
2025-09-10 00:00:00+00:00,3,3,1.0,1.0
2025-09-11 00:00:00+00:00,5,3,2.0,1.0
2025-09-12 00:00:00+00:00,7,7,18.0,4.0
2025-09-13 00:00:00+00:00,18,3,14.0,2.0
