time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-21 00:00:00+00:00,11,6,0,0
2025-12-22 00:00:00+00:00,4,4,0,0
2025-12-23 00:00:00+00:00,10,6,0,0
2025-12-24 00:00:00+00:00,10,4,0,0
2025-12-25 00:00:00+00:00,10,6,0,0
2025-12-26 00:00:00+00:00,21,12,0,0
2025-12-27 00:00:00+00:00,12,6,0,0
2025-12-28 00:00:00+00:00,11,5,0,0
2025-12-29 00:00:00+00:00,8,4,0,0
2025-12-30 00:00:00+00:00,16,9,0,0
2025-12-31 00:00:00+00:00,12,8,0,0
2026-01-01 00:00:00+00:00,7,5,0,0
2026-01-02 00:00:00+00:00,17,11,1,1
2026-01-03 00:00:00+00:00,10,6,0,0
