time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,17.0,3.0,14.0,1.0
2024-08-24 00:00:00+00:00,7.0,3.0,38.0,2.0
2024-08-25 00:00:00+00:00,1.0,1.0,,
2024-08-26 00:00:00+00:00,3.0,2.0,,
2024-08-27 00:00:00+00:00,2.0,1.0,69.0,1.0
2024-08-28 00:00:00+00:00,2.0,1.0,17.0,1.0
2024-08-29 00:00:00+00:00,1.0,1.0,19.0,1.0
2024-08-30 00:00:00+00:00,38.0,10.0,32.0,2.0
2024-08-31 00:00:00+00:00,20.0,7.0,22.0,4.0
2024-09-01 00:00:00+00:00,6.0,4.0,28.0,4.0
2024-09-02 00:00:00+00:00,20.0,6.0,50.0,2.0
2024-09-03 00:00:00+00:00,21.0,5.0,15.0,1.0
2024-09-04 00:00:00+00:00,2.0,1.0,29.0,3.0
2024-09-05 00:00:00+00:00,,,6.0,3.0
