time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-02 00:00:00+00:00,3,3,1.0,1.0
2025-05-03 00:00:00+00:00,5,3,,
2025-05-04 00:00:00+00:00,29,7,12.0,3.0
2025-05-05 00:00:00+00:00,10,5,,
2025-05-06 00:00:00+00:00,3,3,26.0,1.0
2025-05-07 00:00:00+00:00,7,3,24.0,4.0
2025-05-08 00:00:00+00:00,2,2,,
2025-05-09 00:00:00+00:00,13,6,8.0,2.0
2025-05-10 00:00:00+00:00,8,4,7.0,1.0
2025-05-11 00:00:00+00:00,16,7,16.0,3.0
2025-05-12 00:00:00+00:00,3,3,,
2025-05-13 00:00:00+00:00,34,8,1.0,1.0
2025-05-14 00:00:00+00:00,3,3,1.0,1.0
2025-05-15 00:00:00+00:00,5,3,,
