time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,7,4,,
2025-03-12 00:00:00+00:00,4,3,,
2025-03-13 00:00:00+00:00,2,2,5.0,2.0
2025-03-14 00:00:00+00:00,7,5,,
2025-03-15 00:00:00+00:00,2,2,,
2025-03-16 00:00:00+00:00,2,2,,
2025-03-17 00:00:00+00:00,12,7,,
2025-03-18 00:00:00+00:00,2,2,,
2025-03-19 00:00:00+00:00,2,2,4.0,1.0
2025-03-20 00:00:00+00:00,11,5,,
2025-03-21 00:00:00+00:00,10,4,,
2025-03-22 00:00:00+00:00,2,2,,
2025-03-23 00:00:00+00:00,7,3,,
2025-03-24 00:00:00+00:00,1,1,1.0,1.0
